AtomicNumber,Element,Symbol,NumberofNeutrons,NumberofProtons,NumberofElectrons,NumberofValence
1,Hydrogen,H,0,1,1,1
2,Helium,He,2,2,2,
3,Lithium,Li,4,3,3,1
4,Beryllium,Be,5,4,4,2
5,Boron,B,6,5,5,3
6,Carbon,C,6,6,6,4
7,Nitrogen,N,7,7,7,5
8,Oxygen,O,8,8,8,6
9,Fluorine,F,10,9,9,7
10,Neon,Ne,10,10,10,8
11,Sodium,Na,12,11,11,1
12,Magnesium,Mg,12,12,12,2
13,Aluminum,Al,14,13,13,3
14,Silicon,Si,14,14,14,4
15,Phosphorus,P,16,15,15,5
16,Sulfur,S,16,16,16,6
17,Chlorine,Cl,18,17,17,7
18,Argon,Ar,22,18,18,8
19,Potassium,K,20,19,19,1
20,Calcium,Ca,20,20,20,2
21,Scandium,Sc,24,21,21,
22,Titanium,Ti,26,22,22,
23,Vanadium,V,28,23,23,
24,Chromium,Cr,28,24,24,
25,Manganese,Mn,30,25,25,
26,Iron,Fe,30,26,26,
27,Cobalt,Co,32,27,27,
28,Nickel,Ni,31,28,28,
29,Copper,Cu,35,29,29,
30,Zinc,Zn,35,30,30,
31,Gallium,Ga,39,31,31,3
32,Germanium,Ge,41,32,32,4
33,Arsenic,As,42,33,33,5
34,Selenium,Se,45,34,34,6
35,Bromine,Br,45,35,35,7
36,Krypton,Kr,48,36,36,8
37,Rubidium,Rb,48,37,37,1
38,Strontium,Sr,50,38,38,2
39,Yttrium,Y,50,39,39,
40,Zirconium,Zr,51,40,40,
41,Niobium,Nb,52,41,41,
42,Molybdenum,Mo,54,42,42,
43,Technetium,Tc,55,43,43,
44,Ruthenium,Ru,57,44,44,
45,Rhodium,Rh,58,45,45,
46,Palladium,Pd,60,46,46,
47,Silver,Ag,61,47,47,
48,Cadmium,Cd,64,48,48,
49,Indium,In,66,49,49,3
50,Tin,Sn,69,50,50,4
51,Antimony,Sb,71,51,51,5
52,Tellurium,Te,76,52,52,6
53,Iodine,I,74,53,53,7
54,Xenon,Xe,77,54,54,8
55,Cesium,Cs,78,55,55,1
56,Barium,Ba,81,56,56,2
57,Lanthanum,La,82,57,57,
58,Cerium,Ce,82,58,58,
59,Praseodymium,Pr,82,59,59,
60,Neodymium,Nd,84,60,60,
61,Promethium,Pm,84,61,61,
62,Samarium,Sm,88,62,62,
63,Europium,Eu,89,63,63,
64,Gadolinium,Gd,93,64,64,
65,Terbium,Tb,94,65,65,
66,Dysprosium,Dy,97,66,66,
67,Holmium,Ho,98,67,67,
68,Erbium,Er,99,68,68,
69,Thulium,Tm,100,69,69,
70,Ytterbium,Yb,103,70,70,
71,Lutetium,Lu,104,71,71,
72,Hafnium,Hf,106,72,72,
73,Tantalum,Ta,108,73,73,
74,Wolfram,W,110,74,74,
75,Rhenium,Re,111,75,75,
76,Osmium,Os,114,76,76,
77,Iridium,Ir,115,77,77,
78,Platinum,Pt,117,78,78,
79,Gold,Au,118,79,79,
80,Mercury,Hg,121,80,80,
81,Thallium,Tl,123,81,81,3
82,Lead,Pb,125,82,82,4
83,Bismuth,Bi,126,83,83,5
84,Polonium,Po,126,84,84,6
85,Astatine,At,125,85,85,7
86,Radon,Rn,136,86,86,8
87,Francium,Fr,136,87,87,1
88,Radium,Ra,138,88,88,2
89,Actinium,Ac,138,89,89,
90,Thorium,Th,142,90,90,
91,Protactinium,Pa,140,91,91,
92,Uranium,U,146,92,92,
93,Neptunium,Np,144,93,93,
94,Plutonium,Pu,150,94,94,
95,Americium,Am,148,95,95,
96,Curium,Cm,151,96,96,
97,Berkelium,Bk,150,97,97,
98,Californium,Cf,153,98,98,
99,Einsteinium,Es,153,99,99,
100,Fermium,Fm,157,100,100,
101,Mendelevium,Md,157,101,101,
102,Nobelium,No,157,102,102,
103,Lawrencium,Lr,159,103,103,
104,Rutherfordium,Rf,157,104,104,
105,Dubnium,Db,157,105,105,
106,Seaborgium,Sg,160,106,106,
107,Bohrium,Bh,157,107,107,
108,Hassium,Hs,159,108,108,
109,Meitnerium,Mt,159,109,109,
110,"Darmstadtium ","Ds ",161,110,110,
111,"Roentgenium ","Rg ",161,111,111,
112,"Copernicium ","Cn ",173,112,112,
113,Nihonium,Nh,171,113,113,3
114,Flerovium,Fl,175,114,114,4
115,Moscovium,Mc,173,115,115,5
116,Livermorium,Lv,176,116,116,6
117,Tennessine,Ts,178,117,117,7
118,Oganesson,Og,176,118,118,8
